Spirit,Stage,Aspect(s),Learn Level,Move,Move Aspect,Category,Power,Effect,Source,Animation,Animation Source
Noxpincer,Final B,Bug/Dark,1,Coin Toss,Normal,Phys,40,—,inherited from Pinchitin,Coins scatter,original
Noxpincer,Final B,Bug/Dark,1,Pincer Nip,Bug,Phys,45,—,inherited from Pinchitin,Generic hit flash,reuses: Power Jab
Noxpincer,Final B,Bug/Dark,5,Silk Snare,Bug,Status,0,Sharply lowers Speed,inherited from Pinchitin,Sparkle overlay,reuses: Mirror Act
Noxpincer,Final B,Bug/Dark,9,Star Shower,Normal,Phys,60,None (never misses),inherited from Pinchitin,Yellow stars fly,original
Noxpincer,Final B,Bug/Dark,13,Slash Strike,Normal,Phys,50,—,inherited from Pinchitin,Slash lines,original
Noxpincer,Final B,Bug/Dark,17,Full Body Crash,Normal,Phys,85,Paralysis (30%),inherited from Clamptera,Generic hit flash,original
Noxpincer,Final B,Bug/Dark,21,Swarm Strike,Bug,Phys,70,—,inherited from Clamptera,Yellow stars fly,reuses: Star Shower
Noxpincer,Final B,Bug/Dark,25,Blade Ritual,Normal,Status,0,Raises Attack (self),inherited from Clamptera,Spinning blades around user,original
Noxpincer,Final B,Bug/Dark,30,Umbral Rend,Dark,Phys,95,—,own,Dark swirl/drain,reuses: Nightmare Feast
Noxpincer,Final B,Bug/Dark,34,Afterimage,Normal,Status,0,Raises evasion,own,Afterimage flicker,original
Noxpincer,Final B,Bug/Dark,38,Hive Fury,Bug,Phys,95,20% flinch,own,"Drill spiral, screen shake",reuses: Piercing Spiral
Verdusk,Base,Grass/Flying,1,Star Shower,Normal,Phys,60,None (never misses),own,Yellow stars fly,original
Verdusk,Base,Grass/Flying,1,Life Siphon,Grass,Spec,40,Heals user,own,"Green beam, drains HP",original
Verdusk,Base,Grass/Flying,5,Slash Strike,Normal,Phys,50,—,own,Slash lines,original
Verdusk,Base,Grass/Flying,9,Leaf Cutter,Grass,Spec,55,High crit rate,own,Slash lines,reuses: Slash Strike
Verdusk,Base,Grass/Flying,13,Spore Cloud,Grass,Status,0,Puts target to sleep,own,Green sparkle overlay,reuses: Warm Recovery
Frondbat,Stage 2,Grass/Flying,1,Star Shower,Normal,Phys,60,None (never misses),inherited from Verdusk,Yellow stars fly,original
Frondbat,Stage 2,Grass/Flying,1,Life Siphon,Grass,Spec,40,Heals user,inherited from Verdusk,"Green beam, drains HP",original
Frondbat,Stage 2,Grass/Flying,5,Slash Strike,Normal,Phys,50,—,inherited from Verdusk,Slash lines,original
Frondbat,Stage 2,Grass/Flying,9,Leaf Cutter,Grass,Spec,55,High crit rate,inherited from Verdusk,Slash lines,reuses: Slash Strike
Frondbat,Stage 2,Grass/Flying,13,Spore Cloud,Grass,Status,0,Puts target to sleep,inherited from Verdusk,Green sparkle overlay,reuses: Warm Recovery
Frondbat,Stage 2,Grass/Flying,17,Skyward Dive,Flying,Phys,70,None (2-turn),own,"Flies off, then dives",original
Frondbat,Stage 2,Grass/Flying,21,Bramble Rend,Grass,Spec,80,—,own,"Charge, then blade slash",reuses: Wind Slicer
Frondbat,Stage 2,Grass/Flying,25,Root Bind,Grass,Status,0,Sharply lowers Speed,own,"Green beam, drains HP",reuses: Life Siphon
Lunabloom,Final A,Grass/Fairy,1,Star Shower,Normal,Phys,60,None (never misses),inherited from Verdusk,Yellow stars fly,original
Lunabloom,Final A,Grass/Fairy,1,Life Siphon,Grass,Spec,40,Heals user,inherited from Verdusk,"Green beam, drains HP",original
Lunabloom,Final A,Grass/Fairy,5,Slash Strike,Normal,Phys,50,—,inherited from Verdusk,Slash lines,original
Lunabloom,Final A,Grass/Fairy,9,Leaf Cutter,Grass,Spec,55,High crit rate,inherited from Verdusk,Slash lines,reuses: Slash Strike
Lunabloom,Final A,Grass/Fairy,13,Spore Cloud,Grass,Status,0,Puts target to sleep,inherited from Verdusk,Green sparkle overlay,reuses: Warm Recovery
Lunabloom,Final A,Grass/Fairy,17,Skyward Dive,Flying,Phys,70,None (2-turn),inherited from Frondbat,"Flies off, then dives",original
Lunabloom,Final A,Grass/Fairy,21,Bramble Rend,Grass,Spec,80,—,inherited from Frondbat,"Charge, then blade slash",reuses: Wind Slicer
Lunabloom,Final A,Grass/Fairy,25,Root Bind,Grass,Status,0,Sharply lowers Speed,inherited from Frondbat,"Green beam, drains HP",reuses: Life Siphon
Lunabloom,Final A,Grass/Fairy,30,Lunar Burst,Fairy,Spec,95,Lowers Sp. Atk (30%),own,Pink lunar orb bursts,original
Lunabloom,Final A,Grass/Fairy,34,Blade Ritual,Normal,Status,0,Raises Attack (self),own,Spinning blades around user,original
Lunabloom,Final A,Grass/Fairy,38,Sunray Blast,Grass,Spec,120,None (2-turn),own,"Charge glow, then beam",original
Wraithleaf,Final B,Grass/Ghost,1,Star Shower,Normal,Phys,60,None (never misses),inherited from Verdusk,Yellow stars fly,original
Wraithleaf,Final B,Grass/Ghost,1,Life Siphon,Grass,Spec,40,Heals user,inherited from Verdusk,"Green beam, drains HP",original
Wraithleaf,Final B,Grass/Ghost,5,Slash Strike,Normal,Phys,50,—,inherited from Verdusk,Slash lines,original
Wraithleaf,Final B,Grass/Ghost,9,Leaf Cutter,Grass,Spec,55,High crit rate,inherited from Verdusk,Slash lines,reuses: Slash Strike
Wraithleaf,Final B,Grass/Ghost,13,Spore Cloud,Grass,Status,0,Puts target to sleep,inherited from Verdusk,Green sparkle overlay,reuses: Warm Recovery
Wraithleaf,Final B,Grass/Ghost,17,Skyward Dive,Flying,Phys,70,None (2-turn),inherited from Frondbat,"Flies off, then dives",original
Wraithleaf,Final B,Grass/Ghost,21,Bramble Rend,Grass,Spec,80,—,inherited from Frondbat,"Charge, then blade slash",reuses: Wind Slicer
Wraithleaf,Final B,Grass/Ghost,25,Root Bind,Grass,Status,0,Sharply lowers Speed,inherited from Frondbat,"Green beam, drains HP",reuses: Life Siphon
Wraithleaf,Final B,Grass/Ghost,30,Soul Rend,Ghost,Phys,95,Heals user by half damage,own,Dark swirl/drain,reuses: Nightmare Feast
Wraithleaf,Final B,Grass/Ghost,34,Blade Ritual,Normal,Status,0,Raises Attack (self),own,Spinning blades around user,original
Wraithleaf,Final B,Grass/Ghost,38,Sunray Blast,Grass,Spec,120,None (2-turn),own,"Charge glow, then beam",original
Skettera,Base,Bug,1,Slash Strike,Normal,Phys,50,—,own,Slash lines,original
Skettera,Base,Bug,1,Pincer Nip,Bug,Phys,45,—,own,Generic hit flash,reuses: Power Jab
Skettera,Base,Bug,5,Silk Snare,Bug,Status,0,Sharply lowers Speed,own,Sparkle overlay,reuses: Mirror Act
Skettera,Base,Bug,9,Star Shower,Normal,Phys,60,None (never misses),own,Yellow stars fly,original
Skettera,Base,Bug,13,Coin Toss,Normal,Phys,40,—,own,Coins scatter,original
Skeetrike,Stage 2,Bug/Flying,1,Slash Strike,Normal,Phys,50,—,inherited from Skettera,Slash lines,original
Skeetrike,Stage 2,Bug/Flying,1,Pincer Nip,Bug,Phys,45,—,inherited from Skettera,Generic hit flash,reuses: Power Jab
Skeetrike,Stage 2,Bug/Flying,5,Silk Snare,Bug,Status,0,Sharply lowers Speed,inherited from Skettera,Sparkle overlay,reuses: Mirror Act
Skeetrike,Stage 2,Bug/Flying,9,Star Shower,Normal,Phys,60,None (never misses),inherited from Skettera,Yellow stars fly,original
Skeetrike,Stage 2,Bug/Flying,13,Coin Toss,Normal,Phys,40,—,inherited from Skettera,Coins scatter,original
Skeetrike,Stage 2,Bug/Flying,17,Skyward Dive,Flying,Phys,70,None (2-turn),own,"Flies off, then dives",original
Skeetrike,Stage 2,Bug/Flying,21,Swarm Strike,Bug,Phys,70,—,own,Yellow stars fly,reuses: Star Shower
Skeetrike,Stage 2,Bug/Flying,25,Blade Ritual,Normal,Status,0,Raises Attack (self),own,Spinning blades around user,original
Aquasting,Final A,Bug/Water,1,Slash Strike,Normal,Phys,50,—,inherited from Skettera,Slash lines,original
Aquasting,Final A,Bug/Water,1,Pincer Nip,Bug,Phys,45,—,inherited from Skettera,Generic hit flash,reuses: Power Jab
Aquasting,Final A,Bug/Water,5,Silk Snare,Bug,Status,0,Sharply lowers Speed,inherited from Skettera,Sparkle overlay,reuses: Mirror Act
Aquasting,Final A,Bug/Water,9,Star Shower,Normal,Phys,60,None (never misses),inherited from Skettera,Yellow stars fly,original
Aquasting,Final A,Bug/Water,13,Coin Toss,Normal,Phys,40,—,inherited from Skettera,Coins scatter,original
Aquasting,Final A,Bug/Water,17,Skyward Dive,Flying,Phys,70,None (2-turn),inherited from Skeetrike,"Flies off, then dives",original
Aquasting,Final A,Bug/Water,21,Swarm Strike,Bug,Phys,70,—,inherited from Skeetrike,Yellow stars fly,reuses: Star Shower
Aquasting,Final A,Bug/Water,25,Blade Ritual,Normal,Status,0,Raises Attack (self),inherited from Skeetrike,Spinning blades around user,original
Aquasting,Final A,Bug/Water,30,Tidal Wave,Water,Spec,95,—,own,Large wave washes over,original
Aquasting,Final A,Bug/Water,34,Crushing Kick,Normal,Phys,120,—,own,Generic hit flash,original
Aquasting,Final A,Bug/Water,38,Hive Fury,Bug,Phys,95,20% flinch,own,"Drill spiral, screen shake",reuses: Piercing Spiral
Venatrix,Final B,Bug/Poison,1,Slash Strike,Normal,Phys,50,—,inherited from Skettera,Slash lines,original
Venatrix,Final B,Bug/Poison,1,Pincer Nip,Bug,Phys,45,—,inherited from Skettera,Generic hit flash,reuses: Power Jab
Venatrix,Final B,Bug/Poison,5,Silk Snare,Bug,Status,0,Sharply lowers Speed,inherited from Skettera,Sparkle overlay,reuses: Mirror Act
Venatrix,Final B,Bug/Poison,9,Star Shower,Normal,Phys,60,None (never misses),inherited from Skettera,Yellow stars fly,original
Venatrix,Final B,Bug/Poison,13,Coin Toss,Normal,Phys,40,—,inherited from Skettera,Coins scatter,original
Venatrix,Final B,Bug/Poison,17,Skyward Dive,Flying,Phys,70,None (2-turn),inherited from Skeetrike,"Flies off, then dives",original
Venatrix,Final B,Bug/Poison,21,Swarm Strike,Bug,Phys,70,—,inherited from Skeetrike,Yellow stars fly,reuses: Star Shower
Venatrix,Final B,Bug/Poison,25,Blade Ritual,Normal,Status,0,Raises Attack (self),inherited from Skeetrike,Spinning blades around user,original
Venatrix,Final B,Bug/Poison,30,Sludge Wave,Poison,Phys,90,30% poison,own,Purple splash overlay,reuses: Venom Curse
Venatrix,Final B,Bug/Poison,34,Crushing Kick,Normal,Phys,120,—,own,Generic hit flash,original
Venatrix,Final B,Bug/Poison,38,Hive Fury,Bug,Phys,95,20% flinch,own,"Drill spiral, screen shake",reuses: Piercing Spiral
Fleeceling,Base,Normal,1,Coin Toss,Normal,Phys,40,—,own,Coins scatter,original
Fleeceling,Base,Normal,1,Slash Strike,Normal,Phys,50,—,own,Slash lines,original
Fleeceling,Base,Normal,5,Blade Ritual,Normal,Status,0,Raises Attack (self),own,Spinning blades around user,original
Fleeceling,Base,Normal,9,Star Shower,Normal,Phys,60,None (never misses),own,Yellow stars fly,original
Fleeceling,Base,Normal,13,Afterimage,Normal,Status,0,Raises evasion,own,Afterimage flicker,original
Ramblewool,Stage 2,Normal,1,Coin Toss,Normal,Phys,40,—,inherited from Fleeceling,Coins scatter,original
Ramblewool,Stage 2,Normal,1,Slash Strike,Normal,Phys,50,—,inherited from Fleeceling,Slash lines,original
Ramblewool,Stage 2,Normal,5,Blade Ritual,Normal,Status,0,Raises Attack (self),inherited from Fleeceling,Spinning blades around user,original
Ramblewool,Stage 2,Normal,9,Star Shower,Normal,Phys,60,None (never misses),inherited from Fleeceling,Yellow stars fly,original
Ramblewool,Stage 2,Normal,13,Afterimage,Normal,Status,0,Raises evasion,inherited from Fleeceling,Afterimage flicker,original
Ramblewool,Stage 2,Normal,17,Full Body Crash,Normal,Phys,85,Paralysis (30%),own,Generic hit flash,original
Ramblewool,Stage 2,Normal,21,Power Jab,Normal,Phys,80,—,own,Generic hit flash,original
Ramblewool,Stage 2,Normal,25,Warm Recovery,Normal,Status,0,Heals user,own,Green sparkle overlay,original
Voltaram,Final A,Electric,1,Coin Toss,Normal,Phys,40,—,inherited from Fleeceling,Coins scatter,original
Voltaram,Final A,Electric,1,Slash Strike,Normal,Phys,50,—,inherited from Fleeceling,Slash lines,original
Voltaram,Final A,Electric,5,Blade Ritual,Normal,Status,0,Raises Attack (self),inherited from Fleeceling,Spinning blades around user,original
Voltaram,Final A,Electric,9,Star Shower,Normal,Phys,60,None (never misses),inherited from Fleeceling,Yellow stars fly,original
Voltaram,Final A,Electric,13,Afterimage,Normal,Status,0,Raises evasion,inherited from Fleeceling,Afterimage flicker,original
Voltaram,Final A,Electric,17,Full Body Crash,Normal,Phys,85,Paralysis (30%),inherited from Ramblewool,Generic hit flash,original
Voltaram,Final A,Electric,21,Power Jab,Normal,Phys,80,—,inherited from Ramblewool,Generic hit flash,original
Voltaram,Final A,Electric,25,Warm Recovery,Normal,Status,0,Heals user,inherited from Ramblewool,Green sparkle overlay,original
Voltaram,Final A,Electric,30,Storm Bolt,Electric,Spec,110,Paralysis (10%),own,Large lightning + flash,original
Voltaram,Final A,Electric,34,Static Pulse,Electric,Status,0,Paralysis,own,Small spark overlay,original
Voltaram,Final A,Electric,38,Volt Strike,Electric,Spec,95,Paralysis (10%),own,Lightning strike,original
Glacifleece,Final B,Ice,1,Coin Toss,Normal,Phys,40,—,inherited from Fleeceling,Coins scatter,original
Glacifleece,Final B,Ice,1,Slash Strike,Normal,Phys,50,—,inherited from Fleeceling,Slash lines,original
Glacifleece,Final B,Ice,5,Blade Ritual,Normal,Status,0,Raises Attack (self),inherited from Fleeceling,Spinning blades around user,original
Glacifleece,Final B,Ice,9,Star Shower,Normal,Phys,60,None (never misses),inherited from Fleeceling,Yellow stars fly,original
Glacifleece,Final B,Ice,13,Afterimage,Normal,Status,0,Raises evasion,inherited from Fleeceling,Afterimage flicker,original
Glacifleece,Final B,Ice,17,Full Body Crash,Normal,Phys,85,Paralysis (30%),inherited from Ramblewool,Generic hit flash,original
Glacifleece,Final B,Ice,21,Power Jab,Normal,Phys,80,—,inherited from Ramblewool,Generic hit flash,original
Glacifleece,Final B,Ice,25,Warm Recovery,Normal,Status,0,Heals user,inherited from Ramblewool,Green sparkle overlay,original
Glacifleece,Final B,Ice,30,Glacial Storm,Ice,Spec,110,Freeze (10%),own,Snowflake barrage,original
Glacifleece,Final B,Ice,34,Frost Veil,Ice,Status,0,Raises Defense,own,Blue shimmer barrier,reuses: Barrier Ward
Glacifleece,Final B,Ice,38,Frost Ray,Ice,Spec,95,Freeze (10%),own,Beam + freeze sparkle,original
Spriglim,Base,Grass,1,Star Shower,Normal,Phys,60,None (never misses),own,Yellow stars fly,original
Spriglim,Base,Grass,1,Life Siphon,Grass,Spec,40,Heals user,own,"Green beam, drains HP",original
Spriglim,Base,Grass,5,Slash Strike,Normal,Phys,50,—,own,Slash lines,original
Spriglim,Base,Grass,9,Leaf Cutter,Grass,Spec,55,High crit rate,own,Slash lines,reuses: Slash Strike
Spriglim,Base,Grass,13,Spore Cloud,Grass,Status,0,Puts target to sleep,own,Green sparkle overlay,reuses: Warm Recovery
Leafkin,Stage 2,Grass,1,Star Shower,Normal,Phys,60,None (never misses),inherited from Spriglim,Yellow stars fly,original
Leafkin,Stage 2,Grass,1,Life Siphon,Grass,Spec,40,Heals user,inherited from Spriglim,"Green beam, drains HP",original
Leafkin,Stage 2,Grass,5,Slash Strike,Normal,Phys,50,—,inherited from Spriglim,Slash lines,original
Leafkin,Stage 2,Grass,9,Leaf Cutter,Grass,Spec,55,High crit rate,inherited from Spriglim,Slash lines,reuses: Slash Strike
Leafkin,Stage 2,Grass,13,Spore Cloud,Grass,Status,0,Puts target to sleep,inherited from Spriglim,Green sparkle overlay,reuses: Warm Recovery
Leafkin,Stage 2,Grass,17,Full Body Crash,Normal,Phys,85,Paralysis (30%),own,Generic hit flash,original
Leafkin,Stage 2,Grass,21,Bramble Rend,Grass,Spec,80,—,own,"Charge, then blade slash",reuses: Wind Slicer
Leafkin,Stage 2,Grass,25,Root Bind,Grass,Status,0,Sharply lowers Speed,own,"Green beam, drains HP",reuses: Life Siphon
Sylphlora,Final A,Grass/Fairy,1,Star Shower,Normal,Phys,60,None (never misses),inherited from Spriglim,Yellow stars fly,original
Sylphlora,Final A,Grass/Fairy,1,Life Siphon,Grass,Spec,40,Heals user,inherited from Spriglim,"Green beam, drains HP",original
Sylphlora,Final A,Grass/Fairy,5,Slash Strike,Normal,Phys,50,—,inherited from Spriglim,Slash lines,original
Sylphlora,Final A,Grass/Fairy,9,Leaf Cutter,Grass,Spec,55,High crit rate,inherited from Spriglim,Slash lines,reuses: Slash Strike
Sylphlora,Final A,Grass/Fairy,13,Spore Cloud,Grass,Status,0,Puts target to sleep,inherited from Spriglim,Green sparkle overlay,reuses: Warm Recovery
Sylphlora,Final A,Grass/Fairy,17,Full Body Crash,Normal,Phys,85,Paralysis (30%),inherited from Leafkin,Generic hit flash,original
Sylphlora,Final A,Grass/Fairy,21,Bramble Rend,Grass,Spec,80,—,inherited from Leafkin,"Charge, then blade slash",reuses: Wind Slicer
Sylphlora,Final A,Grass/Fairy,25,Root Bind,Grass,Status,0,Sharply lowers Speed,inherited from Leafkin,"Green beam, drains HP",reuses: Life Siphon
Sylphlora,Final A,Grass/Fairy,30,Lunar Burst,Fairy,Spec,95,Lowers Sp. Atk (30%),own,Pink lunar orb bursts,original
Sylphlora,Final A,Grass/Fairy,34,Blade Ritual,Normal,Status,0,Raises Attack (self),own,Spinning blades around user,original
Sylphlora,Final A,Grass/Fairy,38,Sunray Blast,Grass,Spec,120,None (2-turn),own,"Charge glow, then beam",original
Verdraxis,Final B,Grass/Dragon,1,Star Shower,Normal,Phys,60,None (never misses),inherited from Spriglim,Yellow stars fly,original
Verdraxis,Final B,Grass/Dragon,1,Life Siphon,Grass,Spec,40,Heals user,inherited from Spriglim,"Green beam, drains HP",original
Verdraxis,Final B,Grass/Dragon,5,Slash Strike,Normal,Phys,50,—,inherited from Spriglim,Slash lines,original
Verdraxis,Final B,Grass/Dragon,9,Leaf Cutter,Grass,Spec,55,High crit rate,inherited from Spriglim,Slash lines,reuses: Slash Strike
Verdraxis,Final B,Grass/Dragon,13,Spore Cloud,Grass,Status,0,Puts target to sleep,inherited from Spriglim,Green sparkle overlay,reuses: Warm Recovery
Verdraxis,Final B,Grass/Dragon,17,Full Body Crash,Normal,Phys,85,Paralysis (30%),inherited from Leafkin,Generic hit flash,original
Verdraxis,Final B,Grass/Dragon,21,Bramble Rend,Grass,Spec,80,—,inherited from Leafkin,"Charge, then blade slash",reuses: Wind Slicer
Verdraxis,Final B,Grass/Dragon,25,Root Bind,Grass,Status,0,Sharply lowers Speed,inherited from Leafkin,"Green beam, drains HP",reuses: Life Siphon
Verdraxis,Final B,Grass/Dragon,30,Draco Surge,Dragon,Spec,100,—,own,Orange spiral blast,reuses: Draconic Burst
Verdraxis,Final B,Grass/Dragon,34,Blade Ritual,Normal,Status,0,Raises Attack (self),own,Spinning blades around user,original
Verdraxis,Final B,Grass/Dragon,38,Sunray Blast,Grass,Spec,120,None (2-turn),own,"Charge glow, then beam",original
Fawnix,Base,Fire,1,Slash Strike,Normal,Phys,50,—,own,Slash lines,original
Fawnix,Base,Fire,1,Ember Flick,Fire,Spec,40,10% burn,own,Large flame burst,reuses: Inferno Burst
Fawnix,Base,Fire,5,Cinder Veil,Fire,Status,0,Raises Special,own,Sparkle overlay,reuses: Mirror Act
Fawnix,Base,Fire,9,Flame Lash,Fire,Spec,65,10% burn,own,Large flame burst,reuses: Inferno Burst
Fawnix,Base,Fire,13,Star Shower,Normal,Phys,60,None (never misses),own,Yellow stars fly,original
Vulpine,Stage 2,Fire,1,Slash Strike,Normal,Phys,50,—,inherited from Fawnix,Slash lines,original
Vulpine,Stage 2,Fire,1,Ember Flick,Fire,Spec,40,10% burn,inherited from Fawnix,Large flame burst,reuses: Inferno Burst
Vulpine,Stage 2,Fire,5,Cinder Veil,Fire,Status,0,Raises Special,inherited from Fawnix,Sparkle overlay,reuses: Mirror Act
Vulpine,Stage 2,Fire,9,Flame Lash,Fire,Spec,65,10% burn,inherited from Fawnix,Large flame burst,reuses: Inferno Burst
Vulpine,Stage 2,Fire,13,Star Shower,Normal,Phys,60,None (never misses),inherited from Fawnix,Yellow stars fly,original
Vulpine,Stage 2,Fire,17,Full Body Crash,Normal,Phys,85,Paralysis (30%),own,Generic hit flash,original
Vulpine,Stage 2,Fire,21,Blaze Fang,Fire,Spec,80,10% burn,own,"Fang chomp, flinch back",reuses: Fang Snap
Vulpine,Stage 2,Fire,25,Blade Ritual,Normal,Status,0,Raises Attack (self),own,Spinning blades around user,original
Ferravulp,Final A,Fire/Steel,1,Slash Strike,Normal,Phys,50,—,inherited from Fawnix,Slash lines,original
Ferravulp,Final A,Fire/Steel,1,Ember Flick,Fire,Spec,40,10% burn,inherited from Fawnix,Large flame burst,reuses: Inferno Burst
Ferravulp,Final A,Fire/Steel,5,Cinder Veil,Fire,Status,0,Raises Special,inherited from Fawnix,Sparkle overlay,reuses: Mirror Act
Ferravulp,Final A,Fire/Steel,9,Flame Lash,Fire,Spec,65,10% burn,inherited from Fawnix,Large flame burst,reuses: Inferno Burst
Ferravulp,Final A,Fire/Steel,13,Star Shower,Normal,Phys,60,None (never misses),inherited from Fawnix,Yellow stars fly,original
Ferravulp,Final A,Fire/Steel,17,Full Body Crash,Normal,Phys,85,Paralysis (30%),inherited from Vulpine,Generic hit flash,original
Ferravulp,Final A,Fire/Steel,21,Blaze Fang,Fire,Spec,80,10% burn,inherited from Vulpine,"Fang chomp, flinch back",reuses: Fang Snap
Ferravulp,Final A,Fire/Steel,25,Blade Ritual,Normal,Status,0,Raises Attack (self),inherited from Vulpine,Spinning blades around user,original
Ferravulp,Final A,Fire/Steel,30,Forge Strike,Steel,Phys,100,—,own,"Charge, then blade slash",reuses: Wind Slicer
Ferravulp,Final A,Fire/Steel,34,Crushing Kick,Normal,Phys,120,—,own,Generic hit flash,original
Ferravulp,Final A,Fire/Steel,38,Inferno Burst,Fire,Spec,110,Burn (10%),own,Large flame burst,original
Cindusk,Final B,Dark/Fire,1,Slash Strike,Normal,Phys,50,—,inherited from Fawnix,Slash lines,original
Cindusk,Final B,Dark/Fire,1,Ember Flick,Fire,Spec,40,10% burn,inherited from Fawnix,Large flame burst,reuses: Inferno Burst
Cindusk,Final B,Dark/Fire,5,Cinder Veil,Fire,Status,0,Raises Special,inherited from Fawnix,Sparkle overlay,reuses: Mirror Act
Cindusk,Final B,Dark/Fire,9,Flame Lash,Fire,Spec,65,10% burn,inherited from Fawnix,Large flame burst,reuses: Inferno Burst
Cindusk,Final B,Dark/Fire,13,Star Shower,Normal,Phys,60,None (never misses),inherited from Fawnix,Yellow stars fly,original
Cindusk,Final B,Dark/Fire,17,Full Body Crash,Normal,Phys,85,Paralysis (30%),inherited from Vulpine,Generic hit flash,original
Cindusk,Final B,Dark/Fire,21,Blaze Fang,Fire,Spec,80,10% burn,inherited from Vulpine,"Fang chomp, flinch back",reuses: Fang Snap
Cindusk,Final B,Dark/Fire,25,Blade Ritual,Normal,Status,0,Raises Attack (self),inherited from Vulpine,Spinning blades around user,original
Cindusk,Final B,Dark/Fire,30,Inferno Burst,Fire,Spec,110,Burn (10%),own,Large flame burst,original
Cindusk,Final B,Dark/Fire,34,Crushing Kick,Normal,Phys,120,—,own,Generic hit flash,original
Cindusk,Final B,Dark/Fire,38,Umbral Rend,Dark,Phys,95,—,own,Dark swirl/drain,reuses: Nightmare Feast
Frostel,Base,Ice,1,Coin Toss,Normal,Phys,40,—,own,Coins scatter,original
Frostel,Base,Ice,1,Chill Touch,Ice,Spec,40,10% freeze,own,Beam + freeze sparkle,reuses: Frost Ray
Frostel,Base,Ice,5,Frost Veil,Ice,Status,0,Raises Defense,own,Blue shimmer barrier,reuses: Barrier Ward
Frostel,Base,Ice,9,Star Shower,Normal,Phys,60,None (never misses),own,Yellow stars fly,original
Frostel,Base,Ice,13,Slash Strike,Normal,Phys,50,—,own,Slash lines,original
Erminice,Stage 2,Ice,1,Coin Toss,Normal,Phys,40,—,inherited from Frostel,Coins scatter,original
Erminice,Stage 2,Ice,1,Chill Touch,Ice,Spec,40,10% freeze,inherited from Frostel,Beam + freeze sparkle,reuses: Frost Ray
Erminice,Stage 2,Ice,5,Frost Veil,Ice,Status,0,Raises Defense,inherited from Frostel,Blue shimmer barrier,reuses: Barrier Ward
Erminice,Stage 2,Ice,9,Star Shower,Normal,Phys,60,None (never misses),inherited from Frostel,Yellow stars fly,original
Erminice,Stage 2,Ice,13,Slash Strike,Normal,Phys,50,—,inherited from Frostel,Slash lines,original
Erminice,Stage 2,Ice,17,Full Body Crash,Normal,Phys,85,Paralysis (30%),own,Generic hit flash,original
Erminice,Stage 2,Ice,21,Power Jab,Normal,Phys,80,—,own,Generic hit flash,original
Erminice,Stage 2,Ice,25,Blade Ritual,Normal,Status,0,Raises Attack (self),own,Spinning blades around user,original
Aurorine,Final A,Ice/Fairy,1,Coin Toss,Normal,Phys,40,—,inherited from Frostel,Coins scatter,original
Aurorine,Final A,Ice/Fairy,1,Chill Touch,Ice,Spec,40,10% freeze,inherited from Frostel,Beam + freeze sparkle,reuses: Frost Ray
Aurorine,Final A,Ice/Fairy,5,Frost Veil,Ice,Status,0,Raises Defense,inherited from Frostel,Blue shimmer barrier,reuses: Barrier Ward
Aurorine,Final A,Ice/Fairy,9,Star Shower,Normal,Phys,60,None (never misses),inherited from Frostel,Yellow stars fly,original
Aurorine,Final A,Ice/Fairy,13,Slash Strike,Normal,Phys,50,—,inherited from Frostel,Slash lines,original
Aurorine,Final A,Ice/Fairy,17,Full Body Crash,Normal,Phys,85,Paralysis (30%),inherited from Erminice,Generic hit flash,original
Aurorine,Final A,Ice/Fairy,21,Power Jab,Normal,Phys,80,—,inherited from Erminice,Generic hit flash,original
Aurorine,Final A,Ice/Fairy,25,Blade Ritual,Normal,Status,0,Raises Attack (self),inherited from Erminice,Spinning blades around user,original
Aurorine,Final A,Ice/Fairy,30,Lunar Burst,Fairy,Spec,95,Lowers Sp. Atk (30%),own,Pink lunar orb bursts,original
Aurorine,Final A,Ice/Fairy,34,Afterimage,Normal,Status,0,Raises evasion,own,Afterimage flicker,original
Aurorine,Final A,Ice/Fairy,38,Frost Ray,Ice,Spec,95,Freeze (10%),own,Beam + freeze sparkle,original
Blizzlash,Final B,Ice/Dark,1,Coin Toss,Normal,Phys,40,—,inherited from Frostel,Coins scatter,original
Blizzlash,Final B,Ice/Dark,1,Chill Touch,Ice,Spec,40,10% freeze,inherited from Frostel,Beam + freeze sparkle,reuses: Frost Ray
Blizzlash,Final B,Ice/Dark,5,Frost Veil,Ice,Status,0,Raises Defense,inherited from Frostel,Blue shimmer barrier,reuses: Barrier Ward
Blizzlash,Final B,Ice/Dark,9,Star Shower,Normal,Phys,60,None (never misses),inherited from Frostel,Yellow stars fly,original
Blizzlash,Final B,Ice/Dark,13,Slash Strike,Normal,Phys,50,—,inherited from Frostel,Slash lines,original
Blizzlash,Final B,Ice/Dark,17,Full Body Crash,Normal,Phys,85,Paralysis (30%),inherited from Erminice,Generic hit flash,original
Blizzlash,Final B,Ice/Dark,21,Power Jab,Normal,Phys,80,—,inherited from Erminice,Generic hit flash,original
Blizzlash,Final B,Ice/Dark,25,Blade Ritual,Normal,Status,0,Raises Attack (self),inherited from Erminice,Spinning blades around user,original
Blizzlash,Final B,Ice/Dark,30,Umbral Rend,Dark,Phys,95,—,own,Dark swirl/drain,reuses: Nightmare Feast
Blizzlash,Final B,Ice/Dark,34,Afterimage,Normal,Status,0,Raises evasion,own,Afterimage flicker,original
